Epoch,Train_MSE,Val_MSE,Learning_Rate
216,7.187075160882018e-08,1.0085084659467206e-07,4.665599999999999e-05
217,7.426718568733882e-08,6.096951446737192e-08,4.665599999999999e-05
218,6.941960320751852e-08,6.252133463778638e-08,4.665599999999999e-05
219,7.062371099080921e-08,1.0278122078749645e-07,4.665599999999999e-05
220,6.954110441863469e-08,6.539937292043648e-08,4.665599999999999e-05
221,7.043923543574128e-08,9.654490450148864e-08,4.665599999999999e-05
222,7.179373578440765e-08,6.306083252399018e-08,4.665599999999999e-05
223,6.926347514126905e-08,1.053157123155028e-07,4.665599999999999e-05
224,7.053313111153779e-08,6.988029226253098e-08,4.665599999999999e-05
225,7.056798667115876e-08,1.148886059753542e-07,4.665599999999999e-05
226,6.764082009052102e-08,4.837883392244509e-08,4.665599999999999e-05
227,7.163112864623451e-08,6.251050132760852e-08,4.665599999999999e-05
228,6.829554137498513e-08,6.540753192638653e-08,4.665599999999999e-05
229,6.74558582805425e-08,8.23854301169094e-08,4.665599999999999e-05
230,6.997901680392172e-08,4.594322158211534e-08,4.665599999999999e-05
231,6.538496120857161e-08,7.997565903287191e-08,4.665599999999999e-05
232,6.947550881779945e-08,5.019582440016293e-08,4.665599999999999e-05
233,6.809908889990381e-08,1.2249839107412436e-07,4.665599999999999e-05
234,6.780390535613274e-08,1.1674973081822305e-07,4.665599999999999e-05
235,6.773719856217632e-08,8.650625794377724e-08,4.665599999999999e-05
236,6.835765368044593e-08,9.038394718874016e-08,4.665599999999999e-05
237,6.770891591779642e-08,4.8782575282356786e-08,4.665599999999999e-05
238,6.484141168419952e-08,5.936308757509089e-08,4.665599999999999e-05
239,6.731512359835474e-08,8.004734418554093e-08,4.665599999999999e-05
240,6.692656989854102e-08,5.980547554640956e-08,4.665599999999999e-05
241,6.524267113739798e-08,7.207433417065589e-08,4.665599999999999e-05
242,6.683929547360185e-08,1.3584293677385154e-07,4.665599999999999e-05
243,6.519539887685754e-08,4.585438553341064e-08,4.665599999999999e-05
244,6.569442954149895e-08,5.0292660476661514e-08,4.665599999999999e-05
245,6.733026419454388e-08,4.8011268228310874e-08,4.665599999999999e-05
246,6.294422669448426e-08,4.5786095569820475e-08,4.665599999999999e-05
247,6.503732171686445e-08,1.0010162854039874e-07,4.665599999999999e-05
248,6.409176316705328e-08,1.582764928067097e-07,4.665599999999999e-05
249,6.523221604603979e-08,1.2108848412714744e-07,4.665599999999999e-05
250,6.44245190587055e-08,4.5595565526878326e-08,4.665599999999999e-05
251,6.563714931269209e-08,5.2354580002192955e-08,4.665599999999999e-05
252,6.359726268039225e-08,5.973798427410405e-08,4.665599999999999e-05
253,6.192955593487097e-08,4.892833494046396e-08,4.665599999999999e-05
254,6.55581512298302e-08,1.0791371158186979e-07,4.665599999999999e-05
255,6.472947384336916e-08,4.499251549473162e-08,4.665599999999999e-05
256,6.204206154801326e-08,5.298539684623279e-08,4.665599999999999e-05
257,6.190598750328345e-08,4.848451749888977e-08,4.665599999999999e-05
258,6.58414846783221e-08,3.1112268663207204e-08,4.665599999999999e-05
259,6.366325350024866e-08,6.535324588441447e-08,4.665599999999999e-05
260,6.425594885206522e-08,4.163018500357058e-08,4.665599999999999e-05
261,6.636740190117397e-08,3.6450701679522435e-08,4.665599999999999e-05
262,6.548942206408897e-08,3.2780052058210994e-07,4.665599999999999e-05
263,6.222642632732424e-08,1.0365416649784437e-07,4.665599999999999e-05
264,6.244279104881134e-08,5.6094609118464656e-08,4.665599999999999e-05
