a,k,k h,Omega_cdm,Omega_b,Omega_m,A_s,h,k_horizon,sigma8,delta_cdm,delta_b,delta_m,delta_prime_cdm,delta_prime_b,delta_prime_m
0.0311934,0.1094098,0.07111637,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-659.480199999999968,-572.1390999999999849,-645.3084224118279053,-20572.99606772901825,-20363.720077226480498,-20539.039399082223099
0.03119596,0.147106,0.09561889999999999,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-798.9031999999999698,-701.73299999999994725,-783.13657394882591234,-24961.578438675140205,-24736.21998756735411,-24925.012264826691535
0.03120375,0.4265155,0.277235075,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-1355.6520000000000437,-1207.5730000000000928,-1331.625022397486191,-42424.81596271860326,-42105.934243751180475,-42373.074906123933033
0.03123953,0.311127,0.20223255,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-1185.7560000000000855,-1056.2609999999999673,-1164.7444219596463881,-37065.94629474740941,-36786.88335826923867,-37020.666147498624923
0.03127974,0.3842579,0.249767635,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-1301.4970000000000709,-1159.6949999999999363,-1278.4885148130952075,-40633.39662413427868,-40329.177883403644955,-40584.034750608654576
0.03131617,0.07354966,0.047807279,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-501.44709999999997763,-437.36230000000000473,-491.0488392455271196,-15590.090504080215396,-15444.345194325018383,-15566.442185998923378
0.03132744,0.3510935,0.228210775,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-1254.2110000000000127,-1117.7529999999999291,-1232.069620670832137,-39098.750787101409514,-38806.48387443705724,-39051.32819129415293
0.03135837,0.3367221,0.218869365,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-1232.7110000000000127,-1098.7519999999999527,-1210.9751029946503422,-38391.57316180820635,-38105.342813644987473,-38345.130045873622294
0.03143961,0.02634401,0.017123606500000003,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-196.370900000000006,-167.19820000000001414,-191.63740092514902358,-6054.1157261738153466,-5975.3921912613986933,-6041.342216019564148
0.03163664,0.2115515,0.13750847500000002,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-1000.32200000000000273,-896.09019999999998163,-983.4095740377115362,-30901.902611362351308,-30686.886618250759057,-30867.014582332747523
0.03172373,0.1168502,0.07595263000000001,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-707.41430000000002565,-627.008199999999988,-694.3677804813275998,-21761.687477619580022,-21591.883879643693945,-21734.135513834076846
0.0317448,0.08404437,0.0546288405,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-580.30570000000000164,-531.5041999999999689,-572.38727437942520737,-17915.756015880982886,-17834.239081053579866,-17902.529254710771056
0.03176774,0.07111046,0.046221799,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-492.86369999999999436,-426.0717999999999961,-482.0261910667322809,-15090.025815073307967,-14934.0672796678118175,-15064.72032113352725
0.0317977,0.2505811,0.162877715,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-1091.19399999999996,-975.09739999999999327,-1072.3564173047627719,-33528.86643533368624,-33287.617636866139947,-33489.721928162420227
0.03189739,0.1520261,0.098816965,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-831.1853999999999587,-732.1748999999999796,-815.12017085938100536,-25411.831132986506418,-25193.39983120852412,-25376.38894337482634
0.03198776,0.2995812,0.19472778,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-1193.3730000000000473,-1066.6020000000000891,-1172.803412295813132,-36453.097853371677047,-36191.00426723295095,-36410.571116130624432
0.03208136,0.1914821,0.12446336499999999,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-954.6187999999999647,-846.9169000000000551,-937.1433231325967199,-29046.75012599501133,-28816.386290674407064,-29009.371789352557244
0.03211521,0.03087148,0.020066462,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-235.26150000000001228,-201.7932999999999879,-229.83102240495642832,-7110.7936645354284337,-7030.912181140914072,-7097.8322681701392867
0.03212247,0.06196587,0.0402778155,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-452.085899999999981,-392.742999999999995,-442.45704966221927634,-13699.349071061657014,-13554.243524014882496,-13675.8045594908508065
0.03212475,0.2340111,0.15210721500000002,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-1062.59699999999998,-946.5203999999999951,-1043.7626624614160846,-32306.41709502600861,-32063.250941936701565,-32266.961482049377082
0.03228095,0.1571115,0.10212247499999999,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-860.467200000000048,-764.105199999999968,-844.83171072918207756,-26023.529854658438126,-25822.716398716049298,-25990.946298528186162
0.03239388,0.04136112,0.026884728,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-327.96769999999997935,-300.35199999999997544,-323.4868363706011678,-9918.196536575274877,-9874.3161074192103115,-9911.07659324420456
0.03239969,0.1852542,0.12041523000000001,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-949.940900000000056,-846.3854000000000042,-933.13820900993971463,-28638.644097059044725,-28421.630477137776325,-28603.431937432837003
0.03252919,0.03413118,0.022185266999999998,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-265.18430000000000746,-231.84540000000001214,-259.77480234271939707,-7934.818998038661448,-7863.613270557138094,-7923.2653110245046264
